Id,ActivityDate,activity_weekday,TotalSteps,activity_category,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,total_workout_mins,total_active_mins,active_percentage,SedentaryMinutes,sedentary_percentage,Calories
1503960366,3/25/2016,Friday,11004,Active,7.11,7.11,0,2.57,0.46,4.07,0,33,12,205,45,250,17.36%,804,55.83%,1819
1503960366,3/26/2016,Saturday,17609,Active,11.55,11.55,0,6.92,0.73,3.91,0,89,17,274,106,380,26.39%,588,40.83%,2154
1503960366,3/27/2016,Sunday,12736,Active,8.53,8.53,0,4.66,0.16,3.71,0,56,5,268,61,329,22.85%,605,42.01%,1944
1503960366,3/28/2016,Monday,13231,Active,8.93,8.93,0,3.19,0.79,4.95,0,39,20,224,59,283,19.65%,1080,75.00%,1932
1503960366,3/29/2016,Tuesday,12041,Active,7.85,7.85,0,2.16,1.09,4.61,0,28,28,243,56,299,20.76%,763,52.99%,1886
1503960366,3/30/2016,Wednesday,10970,Active,7.16,7.16,0,2.36,0.51,4.29,0,30,13,223,43,266,18.47%,1174,81.53%,1820
1503960366,3/31/2016,Thursday,12256,Active,7.86,7.86,0,2.29,0.49,5.04,0,33,12,239,45,284,19.72%,820,56.94%,1889
1503960366,4/1/2016,Friday,12262,Active,7.87,7.87,0,3.32,0.83,3.64,0,47,21,200,68,268,18.61%,866,60.14%,1868
1503960366,4/2/2016,Saturday,11248,Active,7.25,7.25,0,3,0.45,3.74,0,40,11,244,51,295,20.49%,636,44.17%,1843
1503960366,4/3/2016,Sunday,10016,Active,6.37,6.37,0,0.91,1.28,4.18,0,15,30,314,45,359,24.93%,655,45.49%,1850
1503960366,4/4/2016,Monday,14557,Active,9.8,9.8,0,3.39,0.7,5.69,0,43,18,285,61,346,24.03%,757,52.57%,2030
1503960366,4/5/2016,Tuesday,14844,Active,9.73,9.73,0,2.94,0.76,6.04,0,36,18,341,54,395,27.43%,736,51.11%,2083
1503960366,4/6/2016,Wednesday,11974,Active,7.67,7.67,0,2.04,0.48,5.15,0,27,12,228,39,267,18.54%,1173,81.46%,1861
1503960366,4/7/2016,Thursday,10198,Active,6.44,6.44,0,1.2,0.79,4.45,0,17,20,195,37,232,16.11%,1208,83.89%,1755
1503960366,4/8/2016,Friday,12521,Active,7.94,7.94,0,3.31,0.9,3.74,0,46,22,212,68,280,19.44%,1160,80.56%,1895
1503960366,4/9/2016,Saturday,12432,Active,8.1,8.1,0,2.59,0.59,4.92,0,32,15,248,47,295,20.49%,738,51.25%,1883
1503960366,4/10/2016,Sunday,10057,Active,6.98,6.98,0,4,0.49,2.48,0,44,13,168,57,225,15.63%,737,51.18%,1755
1503960366,4/11/2016,Monday,10990,Active,7.26,7.26,0,2.04,0.57,4.65,0,26,14,216,40,256,17.78%,855,59.38%,1811
1503960366,4/12/2016,Tuesday,13162,Active,8.5,8.5,0,1.88,0.55,6.06,0,25,13,328,38,366,25.42%,728,50.56%,1985
1503960366,4/13/2016,Wednesday,10735,Active,6.97,6.97,0,1.57,0.69,4.71,0,21,19,217,40,257,17.85%,776,53.89%,1797
1503960366,4/14/2016,Thursday,10460,Active,6.74,6.74,0,2.44,0.4,3.91,0,30,11,181,41,222,15.42%,1218,84.58%,1776
1503960366,4/15/2016,Friday,9762,Moderate,6.28,6.28,0,2.14,1.26,2.83,0,29,34,209,63,272,18.89%,726,50.42%,1745
1503960366,4/16/2016,Saturday,12669,Active,8.16,8.16,0,2.71,0.41,5.04,0,36,10,221,46,267,18.54%,773,53.68%,1863
1503960366,4/17/2016,Sunday,9705,Moderate,6.48,6.48,0,3.19,0.78,2.51,0,38,20,164,58,222,15.42%,539,37.43%,1728
1503960366,4/18/2016,Monday,13019,Active,8.59,8.59,0,3.25,0.64,4.71,0,42,16,233,58,291,20.21%,1149,79.79%,1921
1503960366,4/19/2016,Tuesday,15506,Active,9.88,9.88,0,3.53,1.32,5.03,0,50,31,264,81,345,23.96%,775,53.82%,2035
1503960366,4/20/2016,Wednesday,10544,Active,6.68,6.68,0,1.96,0.48,4.24,0,28,12,205,40,245,17.01%,818,56.81%,1786
1503960366,4/21/2016,Thursday,9819,Moderate,6.34,6.34,0,1.34,0.35,4.65,0,19,8,211,27,238,16.53%,838,58.19%,1775
1503960366,4/22/2016,Friday,12764,Active,8.13,8.13,0,4.76,1.12,2.24,0,66,27,130,93,223,15.49%,1217,84.51%,1827
1503960366,4/23/2016,Saturday,14371,Active,9.04,9.04,0,2.81,0.87,5.36,0,41,21,262,62,324,22.50%,732,50.83%,1949
1503960366,4/24/2016,Sunday,10039,Active,6.41,6.41,0,2.92,0.21,3.28,0,39,5,238,44,282,19.58%,709,49.24%,1788
1503960366,4/25/2016,Monday,15355,Active,9.8,9.8,0,5.29,0.57,3.94,0,73,14,216,87,303,21.04%,814,56.53%,2013
1503960366,4/26/2016,Tuesday,13755,Active,8.79,8.79,0,2.33,0.92,5.54,0,31,23,279,54,333,23.13%,833,57.85%,1970
1503960366,4/27/2016,Wednesday,18134,Active,12.21,12.21,0,6.4,0.41,5.41,0,78,11,243,89,332,23.06%,1108,76.94%,2159
1503960366,4/28/2016,Thursday,13154,Active,8.53,8.53,0,3.54,1.16,3.79,0,48,28,189,76,265,18.40%,782,54.31%,1898
1503960366,4/29/2016,Friday,11181,Active,7.15,7.15,0,1.06,0.5,5.58,0,16,12,243,28,271,18.82%,815,56.60%,1837
1503960366,4/30/2016,Saturday,14673,Active,9.25,9.25,0,3.56,1.42,4.27,0,52,34,217,86,303,21.04%,712,49.44%,1947
1503960366,5/1/2016,Sunday,10602,Active,6.81,6.81,0,2.29,1.6,2.92,0,33,35,246,68,314,21.81%,730,50.69%,1820
1503960366,5/2/2016,Monday,14727,Active,9.71,9.71,0,3.21,0.57,5.92,0,41,15,277,56,333,23.13%,798,55.42%,2004
1503960366,5/3/2016,Tuesday,15103,Active,9.66,9.66,0,3.73,1.05,4.88,0,50,24,254,74,328,22.78%,816,56.67%,1990
1503960366,5/4/2016,Wednesday,11100,Active,7.15,7.15,0,2.46,0.87,3.82,0,36,22,203,58,261,18.13%,1179,81.88%,1819
1503960366,5/5/2016,Thursday,14070,Active,8.9,8.9,0,2.92,1.08,4.88,0,45,24,250,69,319,22.15%,857,59.51%,1959
1503960366,5/6/2016,Friday,12159,Active,8.03,8.03,0,1.97,0.25,5.81,0,24,6,289,30,319,22.15%,754,52.36%,1896
1503960366,5/7/2016,Saturday,11992,Active,7.71,7.71,0,2.46,2.12,3.13,0,37,46,175,83,258,17.92%,833,57.85%,1821
1503960366,5/8/2016,Sunday,10060,Active,6.58,6.58,0,3.53,0.32,2.73,0,44,8,203,52,255,17.71%,574,39.86%,1740
1503960366,5/9/2016,Monday,12022,Active,7.72,7.72,0,3.45,0.53,3.74,0,46,11,206,57,263,18.26%,835,57.99%,1819
1503960366,5/10/2016,Tuesday,12207,Active,7.77,7.77,0,3.35,1.16,3.26,0,46,31,214,77,291,20.21%,746,51.81%,1859
1503960366,5/11/2016,Wednesday,12770,Active,8.13,8.13,0,2.56,1.01,4.55,0,36,23,251,59,310,21.53%,669,46.46%,1783
1503960366,5/12/2016,Thursday,0,Sedentary,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,1440,100.00%,0
1624580081,3/25/2016,Friday,1810,Sedentary,1.18,1.18,0,0,0,1.13,0.01,0,0,121,0,121,8.40%,1319,91.60%,1373
